"","player","team","type","MW","nation","position","age","born","starts","starts_graded","subs","subs_graded","benchs","mins","mins_mean","nineties","grade_mean","tG","tGA","npG","npxG","npG_perf","npG_perf_rel","p_att","pG","p_miss","npA","pA","xAG","A_perf","A_perf_rel","npG_A","npG_A_perf","npG_A_perf_rel","npG_p90","npxG_p90","npG_perf_p90","npG_perf_rel_p90","A_p90","xAG_p90","A_perf_p90","A_perf_rel_p90","npG_A_p90","npxG_xAG_p90","npG_A_perf_p90","npG_A_perf_rel_p90","ownG","ylw","ylwred","red","sds","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_fbref","url_fbref"
"472","Simakan","RB Leipzig",NA,NA,"FRA","DF","24",2000,1,1,0,0,0,55,55,0.6,"3.00",1,0,0,0,0,"NaN",0,0,0,0,0,0.3,-0.3,"0.00",0,-0.3,"0.00",0,0,0,"NaN",0,0.46,-0.46,"0.00",0,0.46,-0.46,"0.00",0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,"Mohamed Simakan","https://fbref.com/en/players/fcb27134/Mohamed-Simakan"
"473","Sinani","FC St. Pauli","Sturm",0.8,"LUX","FW,MF","27",1997,14,14,12,1,7,1251,48,13.9,"4.30",28,40,2,1.7,0.3,"1.18",0,0,0,2,0,3,-1,"0.67",4,-0.6,"0.87",0.14,0.12,0.02,"1.17",0.14,0.21,-0.07,"0.67",0.29,0.33,-0.04,"0.88",0,3,0,0,1,80,-48,6,0,4,0,0,0,3,0,45,"Danel Sinani","https://fbref.com/en/players/96ddfa79/Danel-Sinani"
"474","Sippel","Bor. Mönchengladbach","Tor",0.5,"GER","GK","36",1988,0,0,1,1,14,58,58,0.7,"5.00",21,22,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,2,-6,0,0,0,0,0,0,0,0,-4,"Tobias Sippel","https://fbref.com/en/players/0d8a37c2/Tobias-Sippel"
"475","Sissoko","VfL Bochum","Mittelfeld",1.8,"MLI","MF","26",1997,30,30,2,2,0,2626,82,29,"3.42",29,65,2,1.7,0.3,"1.18",0,0,0,1,0,1.6,-0.6,"0.62",3,-0.3,"0.91",0.07,0.06,0.01,"1.17",0.03,0.05,-0.02,"0.60",0.1,0.11,-0.01,"0.91",0,9,1,0,2,124,10,8,0,2,0,-3,0,6,0,147,"Ibrahima Sissoko","https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko"
"476","Skarke","1. FC Union Berlin","Sturm",2.5,"GER","FW,MF","27",1996,11,11,22,8,1,1153,35,12.9,"4.18",36,50,0,2.1,-2.1,"0.00",0,0,0,3,0,1.2,0.8,"1.67",2,-1.3,"0.61",0,0.16,-0.16,"0.00",0.15,0.09,0.06,"1.67",0.15,0.25,-0.1,"0.60",0,1,0,0,0,88,-52,0,0,6,0,0,0,0,0,42,"Tim Skarke","https://fbref.com/en/players/65857fdf/Tim-Skarke"
"477","Skhiri","Eintracht Frankfurt","Mittelfeld",3.2,"TUN","MF","29",1995,26,26,4,1,2,2235,74,24.8,"3.70",64,43,1,1.4,-0.4,"0.71",0,0,0,3,0,1.4,0.6,"1.43",3,0.2,"1.07",0.04,0.06,-0.02,"0.67",0.08,0.06,0.02,"1.33",0.12,0.11,0.01,"1.09",0,6,0,0,0,112,-22,4,0,6,0,0,0,0,0,100,"Ellyes Skhiri","https://fbref.com/en/players/c2211709/Ellyes-Skhiri"
"478","Skov","1. FC Union Berlin","Mittelfeld",1.7,"DEN","DF,MF","28",1996,11,11,4,2,5,859,57,9.5,"3.77",19,28,1,0.9,0.1,"1.11",1,1,0,2,0,2.4,-0.4,"0.83",3,-0.3,"0.91",0.11,0.1,0.01,"1.10",0.21,0.25,-0.04,"0.84",0.32,0.35,-0.03,"0.91",0,1,0,0,0,52,-14,4,4,4,0,0,0,0,0,50,"Robert Skov","https://fbref.com/en/players/ff98492b/Robert-Skov"
"479","Skov Olsen","VfL Wolfsburg","Sturm",1.8,"DEN","FW,MF","24",1999,4,4,8,5,4,531,44,5.9,"4.06",16,23,1,0.8,0.2,"1.25",0,0,0,1,0,1.9,-0.9,"0.53",2,-0.7,"0.74",0.17,0.14,0.03,"1.21",0.17,0.32,-0.15,"0.53",0.34,0.46,-0.12,"0.74",0,0,0,0,0,32,-20,3,0,2,0,0,0,0,0,17,"Andreas Skov Olsen","https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen"
"480","Skrzybski","Holstein Kiel","Mittelfeld",2.2,"GER","MF,FW","31",1992,15,14,9,6,0,1326,55,14.7,"3.50",32,52,5,2.7,2.3,"1.85",1,1,0,4,0,2.9,0.1,"1.03",8,2.4,"1.43",0.34,0.19,0.15,"1.79",0.2,0.2,0,"1.00",0.54,0.38,0.16,"1.42",0,0,0,0,2,78,0,20,4,8,0,0,0,6,0,116,"Steven Skrzybski","https://fbref.com/en/players/58ce23e5/Steven-Skrzybski"
"481","Smith","FC St. Pauli","Abwehr",1.8,"SWE","DF,MF","27",1997,32,32,0,0,0,2828,88,31.4,"3.53",24,41,1,1.4,-0.4,"0.71",0,0,0,1,0,1.5,-0.5,"0.67",2,-0.9,"0.69",0.03,0.05,-0.02,"0.60",0.03,0.05,-0.02,"0.60",0.06,0.09,-0.03,"0.67",0,7,0,0,1,128,-4,5,0,2,0,0,0,3,0,134,"Eric Smith","https://fbref.com/en/players/8817312f/Eric-Smith"
"482","Stach","TSG Hoffenheim","Mittelfeld",3,"GER","MF,DF","25",1998,29,29,1,1,0,2589,86,28.7,"3.25",44,55,1,2,-1,"0.50",0,0,0,2,0,2.2,-0.2,"0.91",3,-1.2,"0.71",0.03,0.07,-0.04,"0.43",0.07,0.08,-0.01,"0.88",0.1,0.15,-0.05,"0.67",0,8,0,0,1,118,30,4,0,4,0,0,0,3,0,159,"Anton Stach","https://fbref.com/en/players/0f59a7bf/Anton-Stach"
"483","Stage","Werder Bremen","Mittelfeld",2,"DEN","MF","27",1996,26,26,2,1,1,2214,79,24.5,"3.26",46,49,10,7.2,2.8,"1.39",0,0,0,5,0,2.8,2.2,"1.79",15,5,"1.50",0.41,0.29,0.12,"1.41",0.2,0.12,0.08,"1.67",0.61,0.41,0.2,"1.49",0,10,0,0,5,108,26,40,0,10,0,0,0,15,0,199,"Jens Stage","https://fbref.com/en/players/1fffae99/Jens-Stage"
