"","spt","team","status","player","begin","end","grade","location","opponent","tG","tGA","npG","pG","npA","pA","ownG","ylw","ylwred","red","sds","Position","kID","Vorname","Nachname","Name_lang","MW","Punkte","Note","G_coef","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points"
"44",1,"RB Leipzig","start","Lukeba",0,90,3,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00135025","Castello","Lukeba","Castello Lukeba",2.8,84,3.47,5,4,2,0,0,0,0,0,0,0,0,6
"45",1,"RB Leipzig","start","Raum",0,90,4,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00087750","David","Raum","David Raum",3.6,134,3.14,5,4,-2,0,0,0,0,0,0,0,0,2
"46",1,"RB Leipzig","start","Seiwald",0,55,4,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00130252","Nicolas","Seiwald","Nicolas Seiwald",2.2,74,3.74,4,4,-2,0,0,0,0,0,0,0,0,2
"47",1,"RB Leipzig","start","Kampl",0,90,3.5,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00057894","Kevin","Kampl","Kevin Kampl",1.8,94,3.48,4,4,0,0,0,0,0,0,0,0,0,4
"48",1,"RB Leipzig","start","A. Haidara",0,75,3,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00099794","Amadou","Haidara","Amadou Haidara",2.8,72,3.76,4,4,2,0,0,0,0,0,0,0,0,6
"49",1,"RB Leipzig","start","Xavi",0,90,4,"home","VfL Bochum","1","0",0,0,1,0,0,1,0,0,FALSE,"MIDFIELDER","pl-k00131111","Xavi","Simons","Xavi",6.5,182,3.32,4,4,-2,0,0,2,0,0,0,0,0,4
"50",1,"RB Leipzig","start","Openda",0,86,3,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00110717","Lois","Openda","Lois Openda",8,173,3.53,3,4,2,0,0,0,0,0,0,0,0,6
"51",1,"RB Leipzig","start","Sesko",0,75,4.5,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00133398","Benjamin","Sesko","Benjamin Sesko",5,151,3.74,3,4,-4,0,0,0,0,0,0,0,0,0
"52",1,"RB Leipzig","sub","Henrichs",55,90,2.5,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00071021","Benjamin","Henrichs","Benjamin Henrichs",3.4,44,3.73,5,2,4,0,0,0,0,0,0,0,0,6
"53",1,"RB Leipzig","sub","Nusa",55,90,2,"home","VfL Bochum","1","0",1,0,0,0,0,0,0,0,TRUE,"FORWARD","pl-k00139305","Antonio","Nusa","Antonio Nusa",2,106,3.45,3,2,6,3,0,0,0,0,0,3,0,14
"54",1,"RB Leipzig","sub","Poulsen",75,90,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00076446","Yussuf","Poulsen","Yussuf Poulsen",2.2,50,4,3,2,NA,0,0,0,0,0,0,0,0,2
"55",1,"RB Leipzig","sub","Klostermann",75,90,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00076575","Lukas","Klostermann","Lukas Klostermann",2,91,3.62,5,2,NA,0,0,0,0,0,0,0,0,2
"56",1,"RB Leipzig","sub","Baumgartner",86,90,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00102800","Christoph","Baumgartner","Christoph Baumgartner",3,78,3.88,4,2,NA,0,0,0,0,0,0,0,0,2
"57",1,"RB Leipzig","bench","Vandevoordt",NA,NA,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00112924","Maarten","Vandevoordt","Maarten Vandevoordt",1,24,3.3,6,0,NA,0,0,0,0,0,0,0,0,0
"58",1,"RB Leipzig","bench","Elmas",NA,NA,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00094920","Eljif","Elmas","Eljif Elmas",2,0,4.5,4,0,NA,0,0,0,0,0,0,0,0,0
"59",1,"RB Leipzig","bench","Gebel",NA,NA,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00167652","Viggo","Gebel","Viggo Gebel",0.8,2,0,4,0,NA,0,0,0,0,0,0,0,0,0
"60",1,"RB Leipzig","bench","Silva",NA,NA,NA,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00085014","André","Silva","André Silva",2.8,38,3.81,3,0,NA,0,0,0,0,0,0,0,0,0
"61",1,"VfL Bochum","start","Drewes",0,90,3,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00067144","Patrick","Drewes","Patrick Drewes",2,92,3.45,6,4,2,0,0,0,0,0,0,0,0,6
"62",1,"VfL Bochum","start","Passlack",0,90,3,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00080342","Felix","Passlack","Felix Passlack",1.4,85,3.95,5,4,2,0,0,0,0,0,0,0,0,6
"63",1,"VfL Bochum","start","Medic",0,86,3,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00109956","Jakov","Medic","Jakov Medic",1.5,61,3.83,5,4,2,0,0,0,0,0,0,0,0,6
"64",1,"VfL Bochum","start","Masovic",0,90,4,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00097629","Erhan","Masovic","Erhan Masovic",1.5,38,4.1,5,4,-2,0,0,0,0,0,0,0,0,2
"65",1,"VfL Bochum","start","Wittek",0,90,3,"away","RB Leipzig","0","1",0,0,0,0,0,1,0,0,FALSE,"DEFENDER","pl-k00078467","Maximilian","Wittek","Maximilian Wittek",1.7,70,3.98,5,4,2,0,0,0,0,0,0,0,0,6
"66",1,"VfL Bochum","start","Sissoko",0,90,3.5,"away","RB Leipzig","0","1",0,0,0,0,0,1,0,0,FALSE,"MIDFIELDER","pl-k00099754","Ibrahima","Sissoko","Ibrahima Sissoko",1.8,147,3.42,4,4,0,0,0,0,0,0,0,0,0,4
"67",1,"VfL Bochum","start","Losilla",0,71,3.5,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00073015","Anthony","Losilla","Anthony Losilla",2,46,3.84,4,4,0,0,0,0,0,0,0,0,0,4
"68",1,"VfL Bochum","start","Bero",0,90,5,"away","RB Leipzig","0","1",0,0,0,0,0,1,0,0,FALSE,"MIDFIELDER","pl-k00082966","Matus","Bero","Matus Bero",1.6,142,3.5,4,4,-6,0,0,0,0,0,0,0,0,-2
"69",1,"VfL Bochum","start","Daschner",0,63,4,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00089834","Lukas","Daschner","Lukas Daschner",1.5,10,4.31,4,4,-2,0,0,0,0,0,0,0,0,2
"70",1,"VfL Bochum","start","P. Hofmann",0,71,4,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00066531","Philipp","Hofmann","Philipp Hofmann",1.8,86,3.96,3,4,-2,0,0,0,0,0,0,0,0,2
"71",1,"VfL Bochum","start","Broschinski",0,86,4,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00105566","Moritz","Broschinski","Moritz Broschinski",1.2,39,4.33,3,4,-2,0,0,0,0,0,0,0,0,2
"72",1,"VfL Bochum","sub","Boadu",63,90,2.5,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00098654","Myron","Boadu","Myron Boadu",1.7,81,3.79,3,2,4,0,0,0,0,0,0,0,0,6
"73",1,"VfL Bochum","sub","Baldé",71,90,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00123796","Aliou","BaldÃ©","Aliou BaldÃ©",1.2,10,3.5,3,2,NA,0,0,0,0,0,0,0,0,2
"74",1,"VfL Bochum","sub","Pannewig",71,90,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00140723","Mats","Pannewig","Mats Pannewig",0.5,20,4.5,4,2,NA,0,0,0,0,0,0,0,0,2
"75",1,"VfL Bochum","sub","Oermann",86,90,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00131053","Tim","Oermann","Tim Oermann",1.4,77,3.88,5,2,NA,0,0,0,0,0,0,0,0,2
"76",1,"VfL Bochum","sub","Bamba",86,90,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00118059","Samuel","Bamba","Samuel Bamba",1.4,10,0,3,2,NA,0,0,0,0,0,0,0,0,2
"77",1,"VfL Bochum","bench","T. Horn",NA,NA,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00049258","Timo","Horn","Timo Horn",2.4,84,3.12,6,0,NA,0,0,0,0,0,0,0,0,0
"78",1,"VfL Bochum","bench","Gamboa",NA,NA,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00070381","Cristian","Gamboa","Cristian Gamboa",1.2,21,4.75,5,0,NA,0,0,0,0,0,0,0,0,0
"79",1,"VfL Bochum","bench","Loosli",NA,NA,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00089406","Noah","Loosli","Noah Loosli",1,0,0,5,0,NA,0,0,0,0,0,0,0,0,0
"80",1,"VfL Bochum","bench","Elezi",NA,NA,NA,"away","RB Leipzig","0","1",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00152386","Agon","Elezi","Agon Elezi",1,0,0,4,0,NA,0,0,0,0,0,0,0,0,0
"81",1,"TSG Hoffenheim","start","Baumann",0,90,1.5,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00039245","Oliver","Baumann","Oliver Baumann",3.8,184,2.98,6,4,8,0,0,0,0,0,0,0,0,12
"82",1,"TSG Hoffenheim","start","Drexler",0,90,3.5,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00132183","Tim","Drexler","Tim Drexler",1.2,8,4.4,5,4,0,0,0,0,0,0,0,0,0,4
"83",1,"TSG Hoffenheim","start","Stach",0,90,3,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00096038","Anton","Stach","Anton Stach",3,159,3.25,4,4,2,0,0,0,0,0,0,0,0,6
"84",1,"TSG Hoffenheim","start","Akpoguma",0,90,2.5,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00067724","Kevin","Akpoguma","Kevin Akpoguma",1.7,80,3.78,5,4,4,0,0,0,0,0,0,0,0,8
"85",1,"TSG Hoffenheim","start","Kaderabek",0,90,3,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00066084","Pavel","Kaderabek","Pavel Kaderabek",2.2,66,3.83,5,4,2,0,0,0,0,0,0,0,0,6
"86",1,"TSG Hoffenheim","start","Grillitsch",0,69,2.5,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00079504","Florian","Grillitsch","Florian Grillitsch",2.6,26,3.69,4,4,4,0,0,0,0,0,0,0,0,8
"87",1,"TSG Hoffenheim","start","Prass",0,89,4,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00136435","Alexander","Prass","Alexander Prass",2,44,4.05,4,4,-2,0,0,0,0,0,0,0,0,2
"88",1,"TSG Hoffenheim","start","Prömel",0,90,3.5,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00080088","Grischa","Prömel","Grischa Prömel",2.5,6,3.75,4,4,0,0,0,0,0,0,0,0,0,4
"89",1,"TSG Hoffenheim","start","Kramaric",0,90,1,"home","Holstein Kiel","3","2",2,1,0,0,0,0,0,0,TRUE,"FORWARD","pl-k00059041","Andrej","Kramaric","Andrej Kramaric",5,186,3.52,3,4,10,6,3,0,0,0,0,3,0,26
"90",1,"TSG Hoffenheim","start","Hlozek",0,59,3,"home","Holstein Kiel","3","2",0,0,0,0,0,1,0,0,FALSE,"FORWARD","pl-k00104978","Adam","Hlozek","Adam Hlozek",1.8,134,3.59,3,4,2,0,0,0,0,0,0,0,0,6
"91",1,"TSG Hoffenheim","start","Bülter",0,68,2,"home","Holstein Kiel","3","2",0,0,1,1,0,0,0,0,FALSE,"FORWARD","pl-k00083988","Marius","Bülter","Marius Bülter",2.4,126,3.5,3,4,6,0,0,2,2,0,0,0,0,14
"92",1,"TSG Hoffenheim","sub","M. Berisha",59,90,3.5,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00098165","Mergim","Berisha","Mergim Berisha",2.2,35,3.57,3,2,0,0,0,0,0,0,0,0,0,2
"93",1,"TSG Hoffenheim","sub","Bruun Larsen",68,90,NA,"home","Holstein Kiel","3","2",0,0,1,0,0,0,0,0,FALSE,"FORWARD","pl-k00088770","Jacob","Bruun Larsen","Jacob Bruun Larsen",1.8,89,3.36,3,2,NA,0,0,2,0,0,0,0,0,4
"94",1,"TSG Hoffenheim","sub","Geiger",69,90,NA,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00075625","Dennis","Geiger","Dennis Geiger",1.6,28,4.31,4,2,NA,0,0,0,0,0,0,0,0,2
"95",1,"TSG Hoffenheim","sub","Nsoki",89,90,NA,"home","Holstein Kiel","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00105275","Stanley","Nsoki","Stanley Nsoki",1.2,32,4.06,5,2,NA,0,0,0,0,0,0,0,0,2
